,Income,Recency,DaysRegistered,AcceptedCmpAll,MntTotal
352,69759.0,38,2850,0,1029
353,72099.0,18,3216,0,1188
354,60000.0,57,3160,0,1277
355,38643.0,45,2818,0,49
356,50737.0,61,3020,1,99
357,68462.0,6,3170,0,1670
358,65073.0,65,2919,0,900
359,46681.0,52,2870,0,425
361,62187.0,38,2705,0,636
362,28442.0,53,2731,0,57
363,37717.0,31,3189,0,25
364,51479.0,67,3154,0,494
365,54803.0,65,3283,0,693
367,31615.0,82,3076,0,51
369,52614.0,63,3181,0,990
370,35684.0,66,2674,0,30
371,48178.0,69,3215,0,254
372,29548.0,52,2910,1,29
373,63810.0,45,3201,1,1371
374,38578.0,2,2978,0,73
375,46098.0,86,3286,0,120
376,22585.0,23,3074,1,81
377,30279.0,13,3152,0,37
378,66426.0,14,2876,0,1377
379,30822.0,92,2986,0,51
380,33581.0,38,3143,0,17
381,19986.0,74,2833,0,22
382,27421.0,14,3170,0,324
383,35688.0,94,3282,0,211
384,36143.0,33,2697,0,19
385,10245.0,32,3016,0,41
386,43795.0,11,2862,1,492
387,63381.0,78,3238,0,1005
388,38823.0,56,3274,0,114
389,83664.0,57,3023,0,1173
390,90300.0,7,2783,1,1738
391,62499.0,0,2808,0,222
393,51012.0,86,3043,0,209
394,70777.0,80,2730,0,787
395,68682.0,56,2872,0,1598
396,43824.0,18,3258,0,186
397,15345.0,51,3273,0,47
398,23442.0,71,3158,0,27
399,14515.0,71,3203,0,96
400,31395.0,80,3069,0,64
401,75276.0,2,3246,0,1040
402,42373.0,83,2924,0,163
403,30507.0,29,3081,0,343
405,48006.0,55,2626,0,41
406,27213.0,19,3274,0,70
407,65808.0,1,2636,0,272
408,30351.0,19,2994,0,46
409,50437.0,28,3226,0,490
410,23616.0,76,3195,0,79
412,66465.0,1,3062,1,1485
413,46923.0,90,3282,0,369
414,75072.0,83,3128,0,1073
415,75865.0,73,2696,0,1242
416,19789.0,24,2827,1,78
417,80134.0,11,2741,4,1378
420,37401.0,14,2660,0,48
421,30096.0,30,2644,0,45
422,18492.0,75,2630,0,10
423,82584.0,26,2996,2,1435
425,48686.0,8,2813,0,20
426,92910.0,42,2672,3,1795
427,75433.0,28,2691,2,1188
428,10404.0,52,2662,0,43
430,84865.0,1,3022,4,1688
433,75236.0,27,2822,0,1068
434,30015.0,28,2753,0,57
435,50943.0,49,2979,0,46
436,67272.0,12,2796,0,733
437,51529.0,14,2901,0,467
438,32011.0,89,2917,0,122
439,7500.0,96,3113,0,36
440,28691.0,56,2966,0,34
441,56223.0,72,2797,0,156
442,18100.0,14,2933,0,14
443,30279.0,13,3152,0,37
444,20130.0,99,2710,0,34
445,23295.0,72,2957,0,20
446,42618.0,92,2869,0,192
448,24027.0,7,2991,0,48
449,55707.0,91,2795,0,428
450,57959.0,71,3029,0,868
451,56796.0,24,3104,0,1001
452,36230.0,17,2861,0,59
453,70829.0,87,2816,0,431
454,65991.0,21,3266,0,971
455,38988.0,90,3284,0,348
457,42207.0,71,3060,1,265
458,50300.0,52,2641,0,270
460,60597.0,2,2785,1,893
462,50520.0,25,2758,0,135
464,33183.0,46,2731,0,120
465,66582.0,83,2724,0,1288
466,75261.0,17,3038,2,1743
467,31880.0,13,3212,0,15
468,53790.0,86,2721,0,542
469,49269.0,92,3289,0,890
471,37406.0,18,2868,0,17
472,56937.0,81,3300,1,906
473,38415.0,91,3149,0,44
474,20518.0,58,2648,0,25
475,62503.0,40,3102,0,973
476,41644.0,67,2657,0,31
477,55842.0,19,2643,0,518
478,62010.0,93,3220,0,530
479,41124.0,41,3212,0,506
480,38961.0,60,2787,0,70
481,37760.0,54,2928,0,54
482,32233.0,26,3285,1,296
483,43057.0,30,2848,0,266
484,83151.0,93,3233,0,747
486,65104.0,4,2833,0,1053
487,60093.0,92,2974,0,735
488,14045.0,24,2760,0,20
489,28457.0,96,3215,0,205
490,78952.0,11,3249,0,2092
491,46310.0,99,3179,0,309
493,58308.0,77,3139,0,900
494,55614.0,85,2820,1,682
495,59432.0,88,3048,0,663
496,55563.0,22,2691,0,43
498,67911.0,63,2644,0,976
499,65275.0,9,3058,0,746
500,27203.0,92,3298,0,64
501,48330.0,2,2832,0,32
502,24279.0,6,3153,0,263
503,64355.0,66,3280,0,1445
504,50943.0,49,2979,0,46
505,53653.0,29,3205,0,1210
507,81217.0,77,2951,0,1157
508,34935.0,71,2979,0,137
509,61250.0,49,3166,0,730
510,39665.0,97,3006,1,216
511,60152.0,6,3064,0,943
512,48920.0,93,2858,1,347
513,89120.0,78,2710,1,1924
514,44124.0,62,3020,0,397
515,81169.0,47,3047,0,2089
516,36443.0,9,3117,0,138
517,26095.0,77,2970,0,42
518,71367.0,24,2916,0,777
519,80184.0,19,2726,2,1902
520,30630.0,67,2759,0,52
521,73454.0,95,2726,1,1651
522,42691.0,48,2923,0,358
524,25545.0,35,3265,0,210
525,32880.0,76,3178,0,42
526,77863.0,20,2820,0,1291
527,50353.0,72,2627,0,442
529,49154.0,69,2844,0,411
530,47682.0,80,3105,0,521
531,72679.0,65,2890,0,1168
532,57954.0,52,2617,1,493
533,65316.0,65,3037,0,260
534,28567.0,57,2983,0,46
535,47352.0,70,3050,0,319
536,44931.0,0,2768,0,96
538,57247.0,50,2931,0,232
539,22944.0,67,2794,0,76
540,25315.0,46,2840,0,54
541,43638.0,37,3298,0,201
542,42710.0,38,3184,0,406
544,54058.0,56,2996,0,662
545,24683.0,98,2719,0,41
547,47850.0,72,2814,0,134
548,19514.0,47,2760,1,69
549,27159.0,33,2698,0,21
550,39548.0,87,2696,0,54
551,21474.0,0,2688,1,91
552,60504.0,73,2748,0,526
553,22419.0,74,3043,0,162
554,81698.0,4,2841,0,1008
555,43462.0,50,3261,0,240
556,54880.0,57,3091,0,795
558,15315.0,27,2936,0,64
560,33039.0,4,2899,0,78
562,71499.0,12,2975,0,795
563,62466.0,13,2771,0,889
564,48799.0,9,2842,0,331
565,52157.0,48,2628,0,265
566,66565.0,80,3177,0,1065
567,29298.0,60,2901,0,11
568,47691.0,43,2965,0,21
569,38200.0,19,3175,0,17
570,44989.0,26,3261,0,369
571,38443.0,58,2759,0,38
572,38593.0,42,2895,0,177
573,64413.0,27,2938,0,279
574,36959.0,56,2876,0,62
575,61996.0,27,3120,3,1230
576,51287.0,10,2695,0,182
577,13260.0,48,2916,0,49
578,47472.0,39,2892,0,75
579,54603.0,85,2961,0,227
580,45207.0,64,3202,1,215
581,40689.0,69,3074,0,444
582,47821.0,54,2858,0,47
583,27450.0,57,3046,0,143
584,39453.0,64,2693,0,55
585,26850.0,10,2678,0,63
587,61794.0,74,2894,0,611
588,53863.0,4,2649,1,473
589,24221.0,94,2919,0,55
590,39684.0,41,3231,0,81
592,69882.0,94,2837,0,1478
593,33178.0,9,2756,0,49
594,59973.0,47,2897,0,382
595,17459.0,12,2889,0,69
596,23910.0,80,3217,0,67
597,42169.0,20,2859,0,30
598,26224.0,39,2996,0,63
599,31089.0,57,3287,0,79
600,30081.0,27,3099,0,42
601,62807.0,83,3273,0,819
602,72906.0,79,2891,0,1151
603,61467.0,69,3173,0,594
604,49618.0,77,3125,0,129
605,21888.0,15,3153,0,213
606,42429.0,99,2744,0,67
607,26150.0,61,3081,0,28
608,30801.0,23,3217,0,45
609,81168.0,84,2659,1,1193
610,26877.0,74,2920,0,268
611,45006.0,90,2952,0,266
612,18978.0,41,3171,0,37
613,22574.0,28,2850,0,37
614,48240.0,73,3203,0,882
615,45837.0,88,2944,0,373
616,35791.0,94,3025,0,35
618,54162.0,31,3074,0,42
619,30522.0,6,3287,0,326
620,54456.0,23,2959,0,404
621,31632.0,92,2956,0,95
622,72298.0,52,2717,2,939
623,36975.0,50,2789,0,33
624,72635.0,54,2997,1,981
625,13624.0,93,3131,0,36
628,34487.0,94,3267,0,103
629,28769.0,76,3164,0,191
630,69084.0,43,2828,0,1586
631,65488.0,46,2622,0,963
632,62466.0,13,2771,0,889
633,32218.0,27,2740,1,93
635,46102.0,3,2717,0,16
637,56181.0,6,3143,0,393
638,63120.0,53,3245,0,1477
639,73691.0,58,2841,1,1179
640,63381.0,78,3238,0,1005
641,76140.0,57,2653,0,1348
642,62859.0,37,3152,0,1307
643,45906.0,20,3024,1,486
644,77632.0,73,3082,2,2252
645,46463.0,56,2921,0,235
647,55282.0,9,2804,0,235
648,78710.0,42,2643,0,1092
649,66886.0,28,2892,0,599
650,98777.0,23,2738,1,2008
651,29103.0,38,3277,0,48
652,67445.0,63,3292,0,1174
653,50616.0,71,2683,0,67
654,49431.0,9,3301,0,365
656,61278.0,87,2782,0,165
657,26490.0,92,3251,0,210
658,73059.0,36,2908,0,1095
659,46734.0,86,2857,1,223
660,56253.0,83,3175,0,597
661,19986.0,74,2833,0,22
662,58330.0,87,2792,0,1064
663,25965.0,29,3266,0,74
664,14661.0,88,3150,0,26
665,18690.0,77,3154,0,60
666,45068.0,25,3015,0,20
667,21063.0,34,2883,0,59
668,29187.0,43,3022,0,34
669,54690.0,76,2840,0,198
670,59304.0,81,2941,0,1048
671,59247.0,87,2839,0,574
673,77353.0,38,2801,0,670
674,52614.0,63,3181,0,990
675,26751.0,26,2644,0,11
676,81300.0,17,3213,1,1241
677,70337.0,75,2784,0,576
678,36145.0,13,2984,1,172
679,65295.0,19,2794,0,664
680,68118.0,51,2860,0,928
681,68743.0,81,3274,0,2074
682,41039.0,32,2945,0,467
683,38946.0,84,2854,0,257
684,65777.0,87,2798,0,1146
685,66476.0,99,3085,0,689
688,77845.0,40,2650,2,1346
689,69476.0,3,2878,0,1044
690,50611.0,98,3239,1,493
691,61209.0,73,2914,0,957
692,42315.0,90,2958,0,270
693,13084.0,29,2845,0,29
694,47570.0,3,3002,0,121
695,61923.0,94,2944,0,126
696,34824.0,65,2701,0,23
697,26518.0,33,3053,0,57
698,45938.0,46,2844,0,636
699,78468.0,29,2687,1,1004
700,78901.0,99,2891,0,734
701,71427.0,26,2715,0,614
703,90247.0,27,2667,3,1621
704,41335.0,24,2791,0,187
705,71952.0,93,3141,2,1443
706,35682.0,34,2608,0,57
707,43185.0,88,3051,0,637
709,35178.0,10,3141,1,59
710,25252.0,26,2958,0,18
711,55250.0,49,3222,0,903
712,33249.0,11,3100,0,112
713,58398.0,44,3017,0,596
714,50272.0,75,2932,0,233
717,25851.0,45,3109,0,48
718,58710.0,77,3061,0,1185
719,45160.0,9,2698,0,21
720,74806.0,1,3163,0,965
721,59111.0,90,3029,0,869
722,18988.0,43,2643,0,16
724,7500.0,19,3303,1,71
725,44794.0,99,2627,0,65
726,80395.0,62,2824,1,1380
727,75012.0,41,2761,0,1027
728,56962.0,60,2867,0,411
730,35946.0,24,2881,0,11
731,53593.0,60,3297,0,480
732,66373.0,57,2988,0,606
733,45072.0,74,2862,0,284
734,89694.0,22,2869,3,1472
735,72025.0,46,2667,3,1677
737,70545.0,29,2632,0,334
738,17487.0,37,3074,0,18
739,62882.0,26,3295,0,1338
740,64108.0,8,3069,0,1099
741,34941.0,26,3086,0,97
742,48767.0,79,2785,0,63
743,38702.0,71,2938,0,109
744,82224.0,83,2761,1,902
746,17003.0,37,2808,0,38
747,71163.0,30,2718,0,960
748,33697.0,34,2893,1,28
751,51518.0,92,2875,0,449
752,58330.0,87,2792,0,1064
754,75507.0,56,2664,0,1440
755,63855.0,28,3111,0,1006
756,62220.0,55,3293,0,1226
757,58512.0,25,2889,0,1171
758,40662.0,0,3077,0,92
759,38829.0,86,2690,0,99
760,35523.0,8,2875,0,66
761,79146.0,33,2672,0,564
762,78285.0,13,2850,0,1427
763,31626.0,12,3021,1,86
765,48726.0,90,3034,0,242
767,67430.0,6,3268,0,1364
768,46891.0,91,2907,0,183
769,62058.0,52,3005,0,450
770,72063.0,3,2967,0,758
772,42720.0,9,3037,0,654
773,33622.0,22,3048,0,81
775,41452.0,86,3086,0,16
776,40760.0,64,2909,0,93
778,51124.0,79,2799,0,43
781,36283.0,42,2682,0,29
782,20587.0,39,2655,0,25
783,30467.0,8,2708,0,24
784,31590.0,40,2982,0,38
785,20425.0,5,3214,0,57
786,17144.0,96,2740,0,47
788,43783.0,22,2637,1,629
789,40780.0,30,3265,0,377
791,82017.0,58,3205,3,729
792,16813.0,49,2951,1,50
793,51267.0,37,2849,0,270
794,46524.0,70,3056,0,177
795,45183.0,33,3131,1,315
796,70421.0,98,2607,0,767
797,60161.0,17,3220,0,1071
798,73926.0,54,3090,0,1580
799,19329.0,39,2803,0,60
800,61872.0,81,2804,0,573
801,46984.0,71,3066,0,41
802,34838.0,62,3132,0,170
804,48192.0,76,3055,3,1526
805,49681.0,66,2843,0,458
806,56850.0,83,2704,0,63
807,55267.0,28,2857,0,405
808,59666.0,87,3070,1,1027
810,26872.0,0,2862,0,72
811,21359.0,1,3041,0,48
813,52750.0,72,3116,0,860
815,65968.0,12,2654,0,495
816,30772.0,89,2715,0,20
818,65685.0,54,2698,0,769
819,25804.0,34,2907,0,55
821,22063.0,43,2931,0,55
822,57091.0,0,2620,1,577
823,22419.0,74,3043,0,162
826,93404.0,97,3024,2,1616
827,37859.0,75,3139,0,36
828,80995.0,83,3020,0,1482
829,16529.0,23,2726,0,22
830,55412.0,65,2825,0,63
831,48789.0,94,3263,0,680
832,56575.0,42,3026,0,542
833,25130.0,10,2876,0,50
834,35441.0,94,3106,0,39
835,71391.0,50,3063,0,1043
836,49494.0,46,3036,0,385
838,45889.0,42,2968,0,46
839,56628.0,30,2706,1,761
840,34026.0,11,2934,0,76
841,40049.0,61,3183,0,290
842,34176.0,12,2654,0,89
843,19419.0,76,3202,0,70
844,82504.0,2,2943,0,1066
847,55284.0,60,3158,0,764
848,49980.0,79,2855,0,195
849,15072.0,96,3021,0,53
850,49166.0,17,2987,0,368
851,65324.0,0,2775,0,544
853,30843.0,43,2640,1,35
854,46374.0,1,2710,2,446
856,38576.0,2,2723,0,41
857,55357.0,66,3101,0,727
858,37758.0,49,3239,0,40
859,85710.0,5,3026,1,1062
860,23228.0,71,2760,0,40
861,44602.0,35,2740,0,292
862,7500.0,94,3142,0,15
863,38683.0,80,3239,0,341
864,49514.0,61,2800,0,369
865,57906.0,29,2989,0,401
866,43456.0,0,3066,0,393
867,19485.0,80,2884,0,10
868,53172.0,54,3025,0,486
869,30545.0,71,3226,0,69
870,70123.0,27,2880,2,1727
871,62450.0,61,2780,1,995
872,21675.0,55,2624,0,45
873,42395.0,35,2692,0,182
874,61346.0,34,2872,0,989
876,42835.0,64,2970,0,595
877,39922.0,30,3106,0,156
878,86424.0,12,2691,0,1226
879,17117.0,96,3134,0,128
880,24762.0,16,2745,1,86
881,35797.0,16,3227,0,68
882,36627.0,78,2947,0,16
883,51111.0,83,2616,0,55
885,82072.0,67,2968,0,2018
886,46231.0,87,3186,0,263
887,42243.0,34,2806,0,55
888,51195.0,46,3060,0,564
889,68092.0,7,2801,0,1281
890,31814.0,73,3111,1,83
891,51390.0,54,3265,0,353
893,26868.0,52,2666,0,14
896,64090.0,8,2932,0,797
898,37087.0,50,2928,0,401
899,21846.0,38,2856,0,84
900,81320.0,61,3114,0,928
901,54137.0,46,2923,0,203
902,66825.0,73,2956,0,858
903,57100.0,19,2813,0,409
904,58917.0,10,3068,0,282
907,45684.0,37,2815,0,28
908,47889.0,94,2782,0,67
909,45921.0,23,2717,0,199
912,52278.0,24,3126,0,1198
913,35641.0,11,2956,0,178
915,62820.0,51,3020,0,976
916,73113.0,86,2791,0,1001
918,42607.0,30,2830,0,350
919,74637.0,73,3013,1,1650
920,46015.0,25,2683,2,46
922,39858.0,67,3127,0,95
923,34469.0,58,2662,0,62
925,24401.0,98,3273,0,467
927,74116.0,53,2787,1,2052
929,68397.0,6,2830,0,1416
930,79632.0,42,2688,0,1113
931,46107.0,78,2745,0,125
932,64950.0,29,3292,1,966
933,25443.0,82,3160,0,32
935,32892.0,78,2641,0,46
936,71796.0,54,2854,0,960
937,67536.0,45,3009,1,1829
938,55239.0,59,2956,0,779
939,60554.0,8,2930,0,811
940,64831.0,51,2990,0,1120
941,56067.0,51,2950,0,725
942,82025.0,76,3003,1,1187
943,94384.0,62,3088,3,2302
944,14906.0,86,3160,0,66
945,51563.0,60,3242,2,1250
946,57937.0,56,2739,0,683
947,68274.0,83,2878,0,305
948,39771.0,92,2811,0,50
949,67893.0,31,3242,0,995
950,27922.0,80,2656,0,41
951,52190.0,39,2658,1,77
952,44051.0,20,3122,0,171
953,42767.0,53,3020,0,131
954,46106.0,84,2655,0,54
955,16927.0,50,3110,0,53
957,53700.0,94,3287,0,694
958,59041.0,25,2659,0,96
959,54237.0,48,3034,0,361
960,70647.0,65,3252,0,1079
961,52597.0,69,2659,0,578
962,41021.0,12,3152,0,64
963,40233.0,84,2864,0,149
964,50183.0,47,2610,0,231
965,54753.0,87,2896,0,728
967,33471.0,47,3231,0,93
968,34596.0,48,3048,0,23
969,44010.0,46,3230,0,662
971,40706.0,37,3134,0,81
972,15716.0,8,3200,0,92
973,59052.0,29,2830,0,491
974,80573.0,85,3229,0,1564
975,83715.0,2,2752,0,926
976,82576.0,66,3303,1,1910
977,56962.0,60,2867,0,411
978,35704.0,54,2783,0,94
980,46779.0,55,2958,0,23
982,33462.0,78,2932,0,54
983,63693.0,63,2864,0,1150
985,65352.0,43,2918,0,405
986,82170.0,13,2822,0,1908
988,79689.0,65,3019,0,1315
989,35340.0,1,2606,0,45
990,85683.0,6,2706,4,1789
991,24884.0,32,3183,0,19
992,42021.0,34,3273,1,573
993,64449.0,70,2737,0,805
994,64587.0,49,2613,0,108
995,34824.0,65,2701,0,23
996,75437.0,25,2838,1,1493
997,26091.0,84,2730,0,89
998,52845.0,7,2926,1,936
999,46086.0,34,2844,0,343
1000,78028.0,38,3263,2,528
1001,95169.0,1,2869,2,1901
1002,56337.0,25,3065,2,724
1003,22434.0,25,3107,0,58
1004,36930.0,50,3014,0,297
1005,36130.0,46,3118,1,488
1006,65569.0,96,3207,0,859
1008,19514.0,47,2760,1,69
1009,36736.0,52,3021,0,17
1011,49187.0,63,2775,0,116
1012,30168.0,51,3085,0,279
1013,34053.0,14,3263,0,103
1014,38196.0,20,2678,0,44
1015,59412.0,56,2677,0,406
1017,54165.0,72,3003,0,236
1018,32300.0,1,3148,0,39
1019,20180.0,27,3100,0,137
1020,34961.0,77,2616,0,79
1021,28440.0,87,2963,0,63
1022,64504.0,81,3088,0,1314
1023,33564.0,51,2611,0,71
1024,17345.0,79,3209,0,58
1025,56320.0,11,3053,0,702
1026,28647.0,54,2918,1,94
1027,15038.0,93,3122,0,80
1028,32173.0,0,2938,0,22
1029,68316.0,54,3208,0,1211
1030,74538.0,21,2971,1,1461
1032,68695.0,3,2610,0,1091
